brand,products,website,instagram,twitter,youtube,email,telephone,address,company,person,personrole,location,country
Blue Sphere Foundation,Ocean-Protection Information,https://www.bluespherefoundation.org,bluespherefoundation,bluespherefdn,,info@bluespherefoundation.org,,1350 6th avenue Suite 3110 - NY - Ny 10019,,,,,WorldWide
Byebye Plastic Bags,Conservation Education Events,http://www.byebyeplasticbags.org,,,,,,,Yayasan Bumi Indah,Kim Bering,Managing Director,,Indonesia
Byo Living,Weaving-Spoecialist Furniture,https://byoliving.com/,byoliving,,,lim@byoliving.com,,Pluit karang utara 79a Jakarta,Byo Living,lim Masulin,Creative Director,https://goo.gl/maps/r1knaTVR3BB2,Indonesia
Charity Navigator,Charity Information,https://www.charitynavigator.org,,CharityNav,,,,139 Harristown Rd Suite 101 - Glen Rock - NJ 07452,,,,,U.S.A.
Conservation International,Conservation  Education,https://www.conservation.org,conservationorg,conservationorg,,media@conservation.org,1 703 341 2400,2011 Crystal Drive - Suite 500 - Arlington - VA 22202,,Peter Seligmann,chairman,,U.S.A.
Coral Triangle Center,Conservation,http://www.coraltrianglecenter.org,,,,info@coraltrianglecenter.org,62 361 289338,Jl  Danau Tamblingan no 78 - Sanur - Bali , ,,,https://goo.gl/maps/nMcGx43yAvQ2,Indonesia
Divine Earth Bali,Vegan-Food Cinema,http://www.divineearthbali.com,,,,info@divineearthbali.com,62 361 731964,Jl  Raya Basangkasa - 1200A - Seminyak - Bali, ,,,https://goo.gl/maps/tsrd3dmjdD72,Indonesia
Down To Earth,Organic Food Distibution,https://www.dtebali.com/,,,,wholesale@dtebali.com,62 361 736645,Jl  Kayu Aya No 99 - Kerobokan - Bali 80361,PT Down To Earth Bali,Liat Solomon,founder,https://goo.gl/maps/eNh2Ps47J7R5Z2Kd9,Indonesia
Earth Cafe & Market,Organic Products,http://www.earthcafebali.com,,,,,62 851 00835545,Jl  Goutama Selatan - Ubud - Bali, ,,,https://goo.gl/maps/zSfXaoEtih42,Indonesia
Earthquake Track,Earthquake infos,https://www.earthquaketrack.com,,,,earthquaketrack@gmail.com,,,,,,,WorldWide
EarthXpress,Organic Vegan-Products ,http://earthx.press,,,,,62 812 4696 7117,Jl  Batu Bolong 37a - Canggu - Bali, ,,,https://goo.gl/maps/FKdKEzymHFR2,Indonesia
East Bali Bamboo Bikes,Bamboo Bikes,https://www.eastbalibamboobikes.com,,,,ebbb@eastbalipovertyproject.org,,,,,,,Indonesia
East Bali Poverty Project,Eliminate poverty,https://www.eastbalipovertyproject.org,,,,,62  361 410071,PO Box 3850 Denpasar,Yayasan Ekoturisme Indonesia,David J Booth,founder,,Indonesia
eBikes Bali,Electric Bicycle Tours,https://www.ebikesbali.com,,,,info@ebikesbali.com,62 812 3866408,Jl  Tirta Tawar - Petulu - Ubud - Bali 80571, ,,,https://goo.gl/maps/yWRWHxSfDtD2,Indonesia
Eco Bali Recycling,Trash-Collection Recycling,http://eco-bali.com,,,,info@eco-bali.com,62 822 37799819,Jl  Raya Padonan - Tibubeneng - Kuta - Bali 80361,PT Bumi Lestari Bali,,,https://goo.gl/maps/cyMAtdcmiWC2,Indonesia
Eco Regions Indonesia,Developmen Conservation,http://ecoregions.co.id,,,,,,, ,,,,Indonesia
Econyl®,Regenerated Nylon,https://www.econyl.com,econylbrand,ECONYL,,info@econyl.com,,Via Linfano 9 - 38062 Arco - Trento,AQUAFIL S.P.A.,,,,Italy
Ecovia Intelligence,Research Consulting Training,http://www.ecoviaint.com,,,,postmaster@ecoviaint.com,44 20 85670788,20B The Mall - London W5 2PJ,,,,,United Kingdom
Emas Hitam,Permaculture Garden,https://emas-hitam-indonesia-site.business.site/,,,,emas.hitam.indonesia@gmail.com,62 813 3968 3345,Jl Subak Uma Petulu Lebah - Ubud - Bali 80571, ,,,https://goo.gl/maps/GDJpVcc6emGLJhzM8,Indonesia
ET scooter,Electric Scooters,http://etscooter.com,,,,info@etscooter.com,,6/F Building no 4 - Jinhuafa Industry Zero - Qingquan Rd  - Longhua - Shenzhen, ,,,,China
Evoware,Seaweed Based Biodegradable Plastic,http://www.evoware.id,,,,info@evoware.id,62 811 8692424 ,,,,,,Indonesia
Ewabi Electric Bamboo Bikes,Electric Bamboo-Bicycles,http://ewabi.co/,,,,cassy@ewabi.co,62 853 38313814,Jl  Gadon III no 7 - Kerobokan - Kuta - Bali 80361, ,,,https://goo.gl/maps/2sNZkRhdKmS2,Indonesia
Explorer Eco Lodge,Hospitality,,,,,,62 878 62266140,Tianyar - Kubu - Karangasem Regency - Bali 80853,,,,https://goo.gl/maps/ZmouMEeCCYE2,Indonesia
Forest Stewardship Council,Wood Certification,https://ic.fsc.org,,,,info@fsc.org,49 228367660,Adenauerallee 134 - Bonn 53115,FSC Global Development GmbH,,,,Germany
Gesits,Electric Scooters,http://gesits.co.id,,,,info@gesits.co.id,,,Garansindo Electric Scooter ITS,,,,Indonesia
Gili Asahan Eco Lodge,Hospitality,http://giliasahan.com/,,,,info@giliasahan.com,62 813 39604779,-8 742800 - 115 884396 - Unnamed Road - Central Sekotong - West Lombok Regency - West Nusa Tenggara 83365,Gili Asahan Eco Lodge & Restaurant,,,https://goo.gl/maps/FXERnsmf16s,Indonesia
Green Bikes Bali,Electric Bicycle Tours,https://www.greenbikesbali.com,,,,info@baliecobikes.com,62 812 37895885,Banjar Gunungsari - Desa Jatiluwih - Bali 8215, ,,,,Indonesia
Green Camp Bali,Ecologic education camp,https://greencampbali.com,,,,info@greencampbali.com,62 85100093310,Jl  Raya Sibang Kaja - Abiansemal - Bali 80352,,,,https://goo.gl/maps/zMHJv6PPUHt,Indonesia
Green School Bali,Ecologic Education,https://www.greenschool.org,,,,,,Jl  Raya Sibang Kaja - Abiansemal - Bali 80352, ,,,https://goo.gl/maps/zMHJv6PPUHt,Indonesia
Green-Books.org,Ecologic Education For Kids,https://www.green-books.org,,,,info@green-books.org,62 82144530169,Pondok Gede Eco-Lodge - Jl  Batan Celagi - Tibubeneng - 80361 Kuta - Bali,Green Books ,Petr - Tomáš,founders,https://goo.gl/maps/nZzR82MZph12,Indonesia
Gringgo,Waste App,https://gringgo.co,,,,info@gringgo.co,,Jl  Sunset Road no 28 - Seminyak - Kuta - Bali 80361,Kembali Innovation Hub,,,,Indonesia
Ibuku,Bamboo,http://ibuku.com,,,,sales@ibuku.com,,,Ibuku,,,,Indonesia
Indonesian Waste Platform,Waste Management,http://www.indonesianwaste.org,,,,nina@indonesianwaste.org,,, ,Nina van Toulon,,,Indonesia
Island Organics Bali,Organic Farm,https://www.islandorganicsbali.com/,islandorganicsbali,islandorganicsbali,,io.gm@bigtreefarms.com,62 8113864094,Jl  Raya Baturiti - Baturiti - Tabanan - Bali 82161,,,,https://goo.gl/maps/4C5MJzot4TC2,Indonesia
Leaf Republic,Leaf-Plates Bowls Biodegradable,https://www.linkedin.com/company/leaf-republic,,,,,49 89 18912857,Mehlbeerenstr  6 - 82024 Taufkirchen - Munich,Leaf Republic GmbH,,,https://goo.gl/maps/5Dmc4zsWiJ52,Germany
Live Essences,Organic Botanical Health Drinks,https://www.live-essences.com,liveessences,,,liveessences@gmail.com,62 8123858928,,Pt. Rumah Seni Kuno,Iris Patrizia Giannoulake,founder,,Indonesia
Lonely Whale,Ocean-Conservation Education,https://www.lonelywhale.org,lonelywhale,lonelywhale,,hello@lonelywhale.org,,,,Dune Ives,Executive Director,,U.S.A.
Manta Trust,Multidisciplinary Conservation,https://www.mantatrust.org,mantatrust,MantaTrust,,info@mantatrust.org,,Catemwood House - Corscombe - Dorchester - Dorset - DT2 0NT,,Guy Stevens - Thomas P. Peschank,founders,,United Kingdom
Mission Blue,Save ocean Information,https://mission-blue.org,,,,,01 707 4926866,P O  Box 6882 - Napa - CA 94581,Sylvia Earle Alliance/Mission Blue,Sylvia Earle,,,U.S.A.
Mongabay,Conservation Information News,http://www.mongabay.co.id,,,,mongabay@mongabay.com,,, ,,,,Indonesia
Mute Garage Bali,Electric Scooters Rent,http://www.e-mute.com,,,,,,"Jalan Petitenget No 115 - Seminyak - Bali,", ,,,,Indonesia
Nazava Water Filters,Water Filters,https://www.nazava.com,,,,info@nazava.com,,, ,,,,Indonesia
Next Wave Plastics,Research Environmental Advocacy,https://www.nextwaveplastics.org,,nxtwaveplastics,,hello@nextwaveplastics.org,,,,,,,U.S.A.
Numbeo,Cost of LIiving Database,https://www.numbeo.com,,,,,,, ,,,,WorldWide
Oceanic Preservation Society,Ocean-Protection Information,http://www.opsociety.org,oceanicpreservationsociety,OP_Society,,info@opsociety.org,,336 Bon Air Center #384 - Greenbrae - CA 94904,,Louie Psihoyos,founder,,U.S.A.
Oxium,Biodegradable Plastic,https://www.greenhope.co/oxium,,,,info@greenhope.co,62 2150178989 ,Grand ITC Permata Hijau - Blok Saphire 22 - Jl  A  Raya Permata Hijau - Kebayoran Lama - Jakarta 12210 ,Greenhope - PT. Harapan Interaksi Swadaya,,,,Indonesia
Pangeaseed Foundation,ARTivism Ecology Education,https://www.pangeaseed.foundation,PangeaSeed,PangeaSeed,,info@pangeaseed.org,,PO Box 4775 - Hilo - HI 96720 USA,,,,,U.S.A.
Paradiso Ubud,Organic Vegan Theatre,http://www.paradisoubud.com,,,,,,Jl  Gautama Selatan - Ubud - Bali, ,,,https://goo.gl/maps/ji76KsYEAt32,Indonesia
Plants for a Future,Plants Database Information,https://pfaf.org,,,,,,, ,,,,WorldWide
Plastik detox,Reduce Plastic Information,http://plastikdetox.com,,,,plastikdetoxbali@gmail.com,62 361 4720595,c/o Catalyze - Jl  Penyaringan No 30B - Sanur - Bali,,,,,Indonesia
Pulau Plastic,Plastic Edutainment Conservation,http://www.pulauplastik.org,,,,lakota@akarumput.com,,Jl  Raya Nyuh Kuning - Mas - Ubud - Bali 80157,,,,https://goo.gl/maps/XsUkL2xj7fH2,Indonesia
Sage Publications,Research-Journals Information,http://journals.sagepub.com,,,,journals@sagepub.com,44 20 7324 8701,,SAGE Publications,,,,United Kingdom
Sarinbuana Eco Lodge,Hospitality,https://www.baliecolodge.com,,,,info@baliecolodge.com,62 853 33638287,Jl  Arjuna - Br  Biyahan - Desa Wanagiri - Dalang - Selemadeg Timur - Tabanan - Bali 82152,,,,https://goo.gl/maps/yERD1HqD7Fv,Indonesia
Satvika Bhoga,Organic food,https://satvikabhoga.wordpress.com,,,,satvikabhoga@gmail.com,62 361 284055,Jl  Hang Tuah No 9c - Sanur - Bali 80227, ,,,https://goo.gl/maps/BoG56fCJG4D2,Indonesia
Sea Legacy,Healthy Oceans,https://www.sealegacy.org/,,,,info@sealegacy.org,,,,Cristina Mittermeier,founder,,Canada
SEE,Environmental Justice,http://saveourplanet.org,,,,,1 818 225 9150,23532 Calabasas Road - Suite A - Calabasas - CA 91302,Social and Environmental Entrepreneurs,Sara Ebrahimi,Office Coordinator,,U.S.A.
Selis Bali,Electric Scooters,http://www.tokoselis.com,,,,customer.service@selis.co.id,62 361 4748205,Jl  Teuku Umar No 216 - Dauh Puri Kauh - Denpasar - Bali 80113, ,,,https://goo.gl/maps/niT14G3dCbu,Indonesia
Singapore Botanic Gardens,Conservation Education,https://www.sbg.org.sg,,,,,,, ,,,,Singapore
Skutis,Electric Scooters,https://skutis.co,,,,,62 821 45238963,, ,,,,Indonesia
Sos From The Deep,Conservation Information,http://sosfromthedeep.com,,,,hello@sosfromthedeep.com,62 361 289338,Jl  Betngandang II no 88-89 - Sanur - Bali, ,,,https://goo.gl/maps/tpUYgicPzr52,Indonesia
Sustainable Brands ,Sustainable Information,http://www.sustainablebrands.com,,,,,1 415 6262212 ,3 Meacham Pl - San Francisco - CA 94109, ,,,,U.S.A.
Sustainable Foods Summit,Conferences Information,http://sustainablefoodssummit.com/asia,,,,info@sustainablefoodssummit.com,65 96395390,1 Scotts Road - no 24-10 Shaw Centre -  Singapore,Asia-Pacific Representative,Laurie Chin,,,Singapore
Ted,Conferences Information,https://ted.com,,,,,,, ,,,,U.S.A.
The Organic Farm Bali,Organic Products,http://www.theorganicfarmbali.com,,,,marjan@theorganicfarmbali.com,62 852 37950255,Jl  Munduk Lumbang - Angseri - Baturiti - 82191 Bali, ,Marjan van Ravenzwaaij,founder,https://goo.gl/maps/HNHLcfNXDyk,Indonesia
The Plant List,Plants Database Information,http://www.theplantlist.org,,,,,,, ,,,,WorldWide
Trash hero,Trash Collection Information,https://trashhero.org,,,,,,, ,,,,Indonesia
Ubud Organic Market,Organic Products,http://www.ubudorganicmarket.com,,,,,,Jl  Pengosekan - Ubud - Bali, ,,,https://goo.gl/maps/YdVNTjebzXB2,Indonesia
Verdure Bali,Healthy Products,http://www.verdurebali.com,,,,info@verdurebali.com,62 818 0279 6888,,  ,,,,Indonesia
Viar Electric Motor,Electric Scooters,https://www.e-viar.com,,,,marketing@viarmotor.com ,62 21 65832202,Jl  Danau Agung Selatan Blok O III no 38 - Jakarta 14350,PT Triangle Motorindo,,,,Indonesia
Welcome Alternative Bags,Sustainable Bags,https://welcomealternativebags.com,,,,info@welcomealternativebags.com,,, ,,,,Indonesia
Wello,Wave Energy Converters,https://wello.eu,,,,info@wello.eu,358 9 8884881,Kurjenkellontie 5 B - FI-02270 Espoo,Wello Oy,,,,Finland
Wild Aid,Wildlife Protection,https://wildaid.org,wildaid,WildAid,,,1 415 8343174,333 Pine Street - Suite 300 - San Francisco - CA 94104,,,,,U.S.A.
World Mapper,Data on Maps Information,https://worldmapper.org,,,,,,, ,,,,WorldWide
World Watch Institute,Information Fact analysis,https://worldwatch.news/,,,,worldwatch@worldwatch.org ,1 202 7458092,1400 16th St  NW - Ste  430 - Washington DC 20036, ,,,,U.S.A.
Zero Waste Bali,Bulk Food Plastic Free Store,https://zerowastebali.com,,,,zerowastebali@gmail.com,62 87862305959 ,Jl  Raya Anyar No 30 - Kerobokan - Bali 80361,,Silvija Rumiha,founder,https://goo.gl/maps/fLJnkmxe9ZU2,Indonesia
Zula Bali,Organic Vegetarian Food,http://www.zulabali.com,,,,,62 361 8497244,Jl  Danau Tamblingan no 150 - Sanur - Bali, ,,,,Indonesia
